Department,Project,Metric,Planned Value,Actual Value,Date,Data Quality Score
HR,Logistics Efficiency,Timeliness,101,74,2024-10-13,0.83
HR,Budget Review,Accuracy,82,103,2024-10-20,0.72
Public Utilities,Logistics Efficiency,Compliance,89,88,2024-10-27,0.71
Operations,Logistics Efficiency,Cost,88,56,2024-11-03,0.99
Operations,Logistics Efficiency,Accuracy,131,83,2024-11-10,0.95
Operations,Hiring Forecast,Timeliness,50,131,2024-11-17,0.91
Operations,Hiring Forecast,Cost,60,69,2024-11-24,0.82
HR,Hiring Forecast,Cost,141,132,2024-12-01,0.75
Public Utilities,Budget Review,Cost,106,85,2024-12-08,0.75
Public Utilities,Logistics Efficiency,Accuracy,138,156,2024-12-15,0.78
HR,Hiring Forecast,Timeliness,99,45,2024-12-22,0.86
Public Utilities,Hiring Forecast,Cost,72,138,2024-12-29,0.91
HR,Budget Review,Compliance,80,144,2025-01-05,0.9
Operations,Hiring Forecast,Cost,143,76,2025-01-12,0.78
HR,Budget Review,Cost,91,63,2025-01-19,0.99
Operations,Water Usage Optimization,Accuracy,148,132,2025-01-26,0.92
Operations,Hiring Forecast,Accuracy,56,152,2025-02-02,0.87
Finance,Water Usage Optimization,Timeliness,65,85,2025-02-09,0.88
HR,Budget Review,Compliance,139,92,2025-02-16,0.83
Finance,Logistics Efficiency,Accuracy,109,134,2025-02-23,0.77
HR,Hiring Forecast,Cost,51,138,2025-03-02,0.81
HR,Budget Review,Timeliness,50,99,2025-03-09,0.93
Finance,Logistics Efficiency,Cost,97,136,2025-03-16,0.7
Finance,Logistics Efficiency,Cost,61,155,2025-03-23,0.73
HR,Water Usage Optimization,Accuracy,118,102,2025-03-30,0.71
Public Utilities,Budget Review,Timeliness,86,124,2025-04-06,0.71
Operations,Logistics Efficiency,Compliance,81,71,2025-04-13,0.96
Finance,Hiring Forecast,Compliance,58,126,2025-04-20,0.91
Operations,Hiring Forecast,Accuracy,148,72,2025-04-27,0.84
Public Utilities,Water Usage Optimization,Accuracy,68,106,2025-05-04,0.73
Public Utilities,Logistics Efficiency,Timeliness,97,57,2025-05-11,0.85
Public Utilities,Budget Review,Compliance,129,64,2025-05-18,0.84
Finance,Hiring Forecast,Compliance,52,145,2025-05-25,0.75
Public Utilities,Logistics Efficiency,Compliance,69,134,2025-06-01,0.83
Finance,Logistics Efficiency,Cost,73,93,2025-06-08,0.82
Public Utilities,Water Usage Optimization,Compliance,103,97,2025-06-15,0.88
Operations,Hiring Forecast,Cost,82,106,2025-06-22,0.89
Operations,Hiring Forecast,Timeliness,73,143,2025-06-29,0.71
HR,Budget Review,Cost,124,85,2025-07-06,0.81
Operations,Hiring Forecast,Timeliness,121,63,2025-07-13,0.89
HR,Budget Review,Compliance,85,153,2025-07-20,0.85
Operations,Hiring Forecast,Compliance,87,71,2025-07-27,0.96
Finance,Water Usage Optimization,Timeliness,133,86,2025-08-03,0.9
Operations,Hiring Forecast,Accuracy,148,125,2025-08-10,0.75
HR,Budget Review,Timeliness,138,62,2025-08-17,0.72
HR,Budget Review,Accuracy,148,105,2025-08-24,0.89
Public Utilities,Water Usage Optimization,Cost,74,66,2025-08-31,0.71
Finance,Hiring Forecast,Cost,142,145,2025-09-07,0.88
Operations,Hiring Forecast,Cost,67,41,2025-09-14,0.98
Public Utilities,Water Usage Optimization,Compliance,131,129,2025-09-21,0.87
Operations,Hiring Forecast,Cost,115,56,2025-09-28,0.82
Operations,Hiring Forecast,Accuracy,103,143,2025-10-05,0.89
Public Utilities,Budget Review,Cost,84,72,2025-10-12,0.84
Public Utilities,Hiring Forecast,Timeliness,129,48,2025-10-19,0.86
Public Utilities,Hiring Forecast,Timeliness,110,82,2025-10-26,0.98
Public Utilities,Water Usage Optimization,Compliance,90,157,2025-11-02,0.82
Public Utilities,Water Usage Optimization,Timeliness,149,87,2025-11-09,0.99
Operations,Logistics Efficiency,Accuracy,82,78,2025-11-16,0.97
Public Utilities,Budget Review,Cost,117,132,2025-11-23,0.76
Finance,Hiring Forecast,Compliance,82,81,2025-11-30,0.72
